,molecule,logp,logd,dataset_type
4649,CC(=O)Nc1ccc(O)c(C(C)(C)C)c1,2.36,,train
4650,CC(C)NCC(O)COc1cccc(CC(N)=O)c1,0.22,,train
4651,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1S(=O)(=O)c1ccccc1,4.04,,train
4652,Cc1ccc(C)n1N=c1ccc(N2CCCC2)n[nH]1,2.45,,train
4653,COc1ccc(-c2cc3ccccn3c2)cc1,4.2,,train
4654,CC(=O)c1ccc(C(O)(Cn2ccnc2)c2ccc(-c3ccncc3)cc2)cc1,2.41,,train
4655,S=C1CCCCCN1,0.75,,train
4656,C1OC1C1CO1,-0.52,,train
4657,CCOC(=O)c1ccc(OCCC2CCN(c3ccc(C)nn3)CC2)nc1,,3.76,train
4658,O=c1[nH]c(O)c(-c2ccccc2)o1,1.09,,train
4659,O=C1CN=C(c2ccccc2F)c2cc(I)ccc2N1CC(O)CO,1.81,,train
4660,Nc1ccc2c(c1)C(=O)c1ccccc1-2,2.95,2.9,train
4661,c1ccc(N2CCOCC2)cc1,1.36,,train
4662,CCC(=O)Oc1c(OC)c(OC)c(OC(=O)CC)c2ccccc12,3.44,,train
4663,O=C(CSc1ccncc1)Nc1ccc(C(=O)c2ccccc2)cc1,,3.6,train
4664,COC(=O)CCC(=O)OC,0.35,,train
4665,Nc1ccccc1,0.9,,train
4666,c1ccc(C2CCNCC2)cc1,2.39,0.54,train
4667,C=CCOc1ccccc1OCC(CNC(C)C)OC(=O)C(C)C,3.77,,train
4668,Nc1ccc(-c2nc3ccc(Br)cc3s2)cc1,2.9,,train
4669,CCCCN1C(=O)N(C)[C@@H]2[C@H]1N(C)C(=O)N2CCCC,2.69,,train
4670,CC(NC(=O)C(C)NC(=O)C(N)C(C)C)C(=O)NC(Cc1ccccc1)C(=O)O,-1.91,,train
4671,COCCOC(=O)C1=C(C)N=C(C)C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,3.05,3.8,train
4672,O=c1cc(-c2cccnc2)[nH]c2cc(Cc3ccccc3)ccc12,,3.46,train
4673,CC(=O)C(C#N)=NNc1cccc(Cl)c1,3.9,,train
4674,Cc1no[n+]([O-])c1Cc1ccccc1,2.22,,train
4675,CCOCCCn1ccc(=O)c(O)c1CC,0.72,,train
4676,Nc1ccccc1NC(=O)c1ccc(CN=c2nc(-c3cccnc3)cc[nH]2)cc1,,2.28,train
4677,OCC(O)c1ccc(O)c(O)c1,-1.01,,train
4678,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,,1.48,train
4679,CN(C)C(=O)Oc1ccc([N+](=O)[O-])cc1,1.5,,train
4680,CC12CC(O)C3C(CCC4(O)CC(O)CC(O)C34CO)C1(O)CCC2c1coc(O)c1,-0.02,,train
4681,CNC(=O)Oc1ccccc1Br,1.77,,train
4682,Cc1ccc(-c2[nH]cnc2C)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,,2.87,train
4683,O=c1cc(-c2ccccc2)oc2cc(O)ccc12,3.62,,train
4684,Nc1ccc(OCc2ccccc2)cc1,,2.2,train
4685,Cc1cc(C(N)=O)ccc1O[C@@H]1C[C@@H]2CC[C@H](C1)N2Cc1ccccc1,,2.23,train
4686,CCC(=O)OC1(C(=O)CCl)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,3.5,,train
4687,O=C1C=NC(c2ccccc2)c2cc(Br)ccc2N1,3.11,,train
4688,O=C(CN1CCOCC1)Nc1ccc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)cc1O,,2.4,train
4689,Cn1c([N+](=O)[O-])cnc1C(N)=O,0.29,,train
4690,CCOP(=S)(OCC)Oc1ccc(=O)n(-c2ccccc2)n1,3.2,,train
4691,CCOP(=S)(OCC)Oc1ccc(SC)cc1Cl,4.4,,train
4692,CCc1c(C)cccc1C,4.28,,train
4693,CNC(=O)CCc1ccccc1,1.17,,train
4694,CCSC(=Cc1ccccc1)C(=O)NC(C)CC,3.4,,train
4695,Cn1cnc([N+](=O)[O-])n1,-0.68,,train
4696,CC(C)c1cc(C(C)C)cc(C2C(=O)c3ccccc3C2=O)c1,5.96,,train
4697,OC(Cn1ccnc1)(c1ccc(-c2ccccn2)cc1)c1ccc(F)cc1F,3.65,,train
4698,CN(C)S(=O)(=O)c1ccc(N)cc1,0.67,,train
4699,Cc1cc(C)c2c(N)c(C(=O)NC3CC3)sc2n1,,2.53,train
4700,COc1c(C/C=C(\C)CCC(=O)OCCN2CCOCC2)c(O)c2c(O)occ2c1C,,2.26,train
4701,CN(CCO)C1=C(N2CC2)C(=O)C(N(C)CCO)=C(N2CC2)C1=O,-0.37,,train
4702,Cc1cnnc2ccc(Cl)cc12,1.96,,train
4703,COc1c(O)cc(Cl)c(Cl)c1Cl,3.77,,train
4704,S=c1[nH]cnc2[nH]cnc12,0.01,,train
4705,Cc1c(Cl)ccc(Cc2c(Cl)cccc2Cl)c1Cl,7.2,,train
4706,OCC(O)COc1ccccc1,0.7,,train
4707,O=[N+]([O-])c1cc(Cl)c(N=c2[nH]cc([N+](=O)[O-])cc2Cl)c([N+](=O)[O-])c1,2.6,,train
4708,O=c1c(C2CC(c3ccc(-c4ccc(Br)cc4)cc3)Cc3ccccc32)c(O)oc2ccccc12,8.5,,train
4709,CC=NP(=O)(N=CC)NC(=O)c1cccc(OC)c1,0.86,,train
4710,O=C(Cc1ccccc1)Nc1ccccc1O,2.4,,train
4711,CCNc1cccc2ccccc12,3.45,,train
4712,O=C(C(O)CO)C(O)C(O)CO,-1.88,,train
4713,CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)C1Cc2ccc(O)cc2CN1,,2.39,train
4714,CNC(=S)NCCSCc1[nH]cnc1C,0.5,,train
4715,CC(C)CC(NC(=O)C(N)Cc1ccccc1)C(=O)O,-1.17,,train
4716,CC1(C)SC2C(NC(=O)CCOc3ccccc3)C(=O)N2C1C(=O)O,2.28,,train
4717,CCOC1OC2OC3(C)CCC4C(C)C(O)CC(C1C)C24OO3,2.14,,train
4718,NC1(C(=O)NC(Cc2ccccc2)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,,4.1,train
4719,Cc1cn(C2CC(N=[N+]=[N-])C(COC(=O)CCNC(=O)C34CC5CC(CC(C5)C3)C4)O2)c(=O)[nH]c1=O,2.14,,train
4720,Nc1cccc(OC(=O)c2ccc(N)cc2O)c1,2.08,,train
4721,O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,-1.98,,train
4722,CCCCc1cccc(NC(=O)N(C)C)c1,3.23,,train
4723,Cc1c[nH]c(=Nc2ccc(OCC(O)CN(C)C)cc2)[nH]c1=Nc1ccccc1,,2.0,train
4724,O=C(O)/C=C/C=C/c1ccccc1,3.15,,train
4725,CN(C)P(=O)(N(C)C)N(C)C,0.28,,train
4726,Clc1cc2c(cc1Cl)Oc1c(Cl)ccc(Cl)c1O2,6.39,,train
4727,CCCOc1cncc(C)n1,2.29,,train
4728,COc1cc(F)ccc1-c1cccc(CNC2CCCC2)n1,,2.06,train
4729,CNC(=O)c1ccc(C)c(-n2c(C)cc(OCc3ccc(F)cc3F)c(Br)c2=O)c1,,2.8,train
4730,CN1CC=C(c2cccc(O)c2)CC1,,0.53,train
4731,Cc1ccccc1-n1c(Cn2cnc3c(=N)[nH]cnc32)nc2cccc(C)c2c1=O,,2.6,train
4732,CC(=O)Nc1cc(C)c(C)c(C)c1,2.5,,train
4733,CC1CCC(=O)CC1,1.38,,train
4734,COc1ccc(C(C)NC(=O)C2(N)CCN(c3ncnc4[nH]ccc34)CC2)cc1OC,,1.8,train
4735,CCCNc1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],3.65,,train
4736,CC(C)(C)C(=O)Nc1ccc(Cl)c(Cl)c1,3.88,,train
4737,CC1(C)CC(=O)c2c([nH]c3ccccc3c2=N)C1,,3.0,train
4738,COCOC(=O)C1N2C(=O)C(N3C(=O)C(c4ccc(O)cc4)NC3(C)C)C2SC1(C)C,0.3,,train
4739,COc1ccc(CNC(=O)C(=O)c2c[nH]c3ccc([N+](=O)[O-])cc23)cc1,2.17,,train
4740,CCOc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OCC)c1C(C)(C)O,2.46,,train
4741,COC(=O)c1ccc(-c2ncc([N+](=O)[O-])n2C)cc1,1.63,,train
4742,COc1ccc(C(O)(Cn2ccnc2)c2ccc(-c3ccncc3)cc2)cc1,3.55,,train
4743,COc1ncnc2c1ncn2C1OC(CO)C(OC(=O)Cc2ccccc2)C1OC(=O)Cc1ccccc1,3.48,,train
4744,CCC(C)=NC(=O)C(Cc1ccccc1)NC(=O)c1ccccc1,2.47,,train
4745,O=C(O)COc1cccc(SC(F)(F)F)c1,2.86,,train
4746,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C(CN1CCCC1)c1ccccc1,,3.38,train
4747,CC(=O)Nc1cc(C(C)(C)C)c(O)cc1C,2.18,,train
4748,CC(=O)NC(CC(=O)O)C(N)=O,-2.6,,train
4749,C[C@H](CO)N=c1[nH]c(SCc2cccc(F)c2F)nc2[nH]c(=N)cnc12,,2.89,train
4750,Cc1oc(-c2ccccc2)cc1C(=O)Nc1cccc(C(=O)O)c1,,1.63,train
4751,Cc1ccc(SCC(=O)NCc2cccc(CNC(=O)CSc3ccc(C)cc3)c2)cc1,5.08,,train
4752,CC(C(=O)O)c1ccc(-c2nc(CO)cs2)cc1,2.25,,train
4753,N#CC(C#N)=NNc1ccc(Cl)cc1,3.39,,train
4754,O=C(NCCCN=c1[nH]c(=Nc2cccc(NC(=O)N3CCCC3)c2)[nH]cc1Br)c1cccs1,,4.13,train
4755,CN(N=O)C1CCCCC1,1.43,,train
4756,CS(=O)(=O)OCCCNCCCOS(C)(=O)=O,-1.71,,train
4757,CN(C)c1cccc2c(S(N)(=O)=O)cccc12,2.01,1.95,train
4758,Oc1ccc2[nH]c(CN3CCC(Cc4ccc(F)cc4)CC3)nc2c1,,3.8,train
4759,CN(C)C(=O)Nc1cccc(O)c1,0.51,,train
4760,c1cn(-c2ccc(Oc3cc(Oc4ccc5c(c4)OCO5)ncn3)cc2)cn1,,3.17,train
4761,CCCCc1c(C)[nH]c(=NCC)[nH]c1=O,2.22,,train
4762,N#CC(=Cc1ccc2c(c1)OCO2)C(=O)NCc1cccc(CNC(=O)C(C#N)=Cc2ccc3c(c2)OCO3)c1,4.92,,train
4763,O=C(O)Cc1ccc(O)c(O)c1,0.98,,train
4764,CC(C)c1nc([N+](=O)[O-])c[nH]1,0.9,,train
4765,CC(C)(C)C1(O)CCN2CC3c4ccccc4CCc4cccc(c43)C2C1,5.2,,train
4766,COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1Cl,1.87,,train
4767,O=NN1CCC(Cl)C(Cl)C1,1.04,,train
4768,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@@H](c2ccccc2)N2CCN(S(=O)(=O)CC(F)(F)F)CC2)CC1,,1.8,train
4769,CC(C)(C)NCC(O)COCc1ccccc1,1.7,,train
4770,c1ncc2[nH]cnc2n1,-0.37,,train
4771,CC(C)NCC(O)c1ccc(S(C)(=O)=O)cc1,0.24,,train
4772,O=C1CCOc2cc(OCc3cccc(F)c3)ccc21,,3.4,train
4773,COc1ccccc1/C=N/n1c(C)cc(C)c(C#N)c1=O,3.08,,train
4774,CCCCOCC(C)OC(=O)COc1[nH]c(F)c(Cl)c(=N)c1Cl,4.17,,train
4775,C[C@@H]1CCCC[C@H]1NC(=O)COC(=O)C1=COCCO1,2.48,,train
4776,CCn1cc(NC(=O)Cc2ccc(Oc3ccnc4ccc(F)cc34)cc2OC)cn1,,3.88,train
4777,CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccc([N+](=O)[O-])cc1,2.63,,train
4778,COc1cc(C(=O)Nc2ccc3nn(C4CCCCC4)nc3c2)cc(OC)c1OC,4.45,,train
4779,O=C(O)CCCCn1nnc2ccccc21,0.48,,train
4780,COc1ccc(C=NN(C)P(=O)(N2CC2)N2CC2)cc1,0.47,,train
4781,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,3.09,1.06,train
4782,O=C(O)CSC1=NS(=O)(=O)c2cc(Cl)ccc2N1,0.72,,train
4783,O=NN1CCCCC1=O,-1.05,,train
4784,N#Cc1ccccc1CC(C(=O)O)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,,2.12,train
4785,CC(Oc1ccc(Cl)cc1)C(=O)O,2.31,,train
4786,O=c1ccn(C2OC(CO)CC2F)c(=O)[nH]1,-0.87,,train
4787,COc1cc(Cl)c(Cl)c(Cl)c1O,3.72,,train
4788,CC(=O)Nc1ccc([C@@H]2c3c(C)nn(-c4cccc(Cl)c4)c3OC(=N)C2C#N)cc1,4.93,,train
4789,CN1CCCNCC1,-0.4,,train
4790,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)O,-1.46,,train
4791,Cc1cc(S(=O)(=O)N=c2[nH][nH]c(=Nc3ccc(Cl)cc3)[nH]2)c(S)cc1Cl,,2.09,train
4792,O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)NCCOCCSc3ccccc3)c2s1,1.84,1.84,train
4793,Cc1c(O)ccc([N+](=O)[O-])c1[N+](=O)[O-],2.86,,train
4794,Cc1cc(CCC2CCN(S(=O)(=O)CC3(N(O)C=O)CCOCC3)CC2)c(C)cn1,,1.43,train
4795,Cc1ncc([N+](=O)[O-])n1CCCS(C)(=O)=O,-1.0,,train
4796,CN(C)C(=O)N=c1cc(C(C)(C)C)o[nH]1,1.98,,train
4797,NC(=O)c1cc(NC(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(N)=O)c1,3.87,,train
4798,COC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C2=NCCS2)c1CC(C)C,3.89,,train
4799,O=NN(CCCl)C(=O)NC1CCCCC1C(=O)O,2.01,,train
4800,CCCc1cc(OCc2ccccc2)cc(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,2.4,train
4801,CCCCCCCCSCCO,3.64,,train
4802,CCC(C)c1cccc(C(C)CC)c1O,4.36,,train
4803,N=c1cc2[nH][nH]c(=O)n2c2cc(-c3ccc[nH]3)ccc12,,2.3,train
4804,O=C1NC(=O)c2ccccc21,1.15,,train
4805,COCCn1ccnc1[N+](=O)[O-],0.12,,train
4806,O=P(NN=Cc1ccc(F)cc1)(N1CC1)N1CC1,0.45,,train
4807,CC(=O)Nc1cc(C)ccc1C,1.47,,train
4808,CCC(C)C(N)C(=O)NC(C(=O)O)C(C)CC,-1.82,,train
4809,COC(C)(C)C,0.94,,train
4810,Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](COc5ccon5)OC4=O)cc3F)cn2)n1,,1.24,train
4811,Cc1ccc2c(c1)c(-c1cc(C)nc3ccccc13)c(C)n2CC(=O)O,,2.88,train
4812,CCCCCOC(=O)C=Cc1ccc([N+](=O)[O-])o1,3.4,,train
4813,Cc1cc([N+](=O)[O-])ccc1NN=C(C#N)C#N,3.55,,train
4814,CCOC(=O)C(Cc1ccc([N+](=O)[O-])cc1)=NC=O,2.05,,train
4815,C[C@@H]1CN(c2noc(C(F)F)n2)CCN1c1ncc(OCc2ccncc2C#N)cn1,,2.85,train
4816,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(F)(F)F,1.07,,train
4817,CC(=O)c1cccc(N)c1,0.83,,train
4818,Cc1cccc(C)c1NC(=O)CN(C)C,0.94,,train
4819,Cc1ccc(Oc2ccc(N=c3[nH]cnc4cccc(OC(C)C(=O)N5CCOCC5)c34)cc2C)cn1,,4.14,train
4820,COc1ccc(C(=O)N2CCCCC2)cc1,2.4,,train
4821,CC(C[C@@](C)(CS(=O)(=O)N1CCN(CCc2ccc(Cl)cc2Cl)CC1)N(O)C=O)c1ncc(F)cn1,,3.27,train
4822,CCC(=O)N(C)c1ccc(S(=O)(=O)N(C)C)cc1,0.71,,train
4823,O=c1cc(O)n(-c2ccccc2)o1,0.54,,train
4824,CCN(C(=O)c1ccc(-c2ccc(Cl)cc2)o1)c1ccc(N2CCNCC2)cc1,,3.3,train
4825,O=c1ccc2ccc3occc3c2o1,2.08,,train
4826,CC(C)c1cccc(C(C)C)c1N,3.18,,train
4827,COc1cc2[nH]cnc(=Nc3cccc(Cl)c3F)c2cc1OC1CCN(S(C)(=O)=O)CC1,,2.82,train
4828,CCCCOCCO,0.83,,train
4829,COc1cc2[nH]cnc(=Nc3ccc(F)cc3)c2cc1OC,,3.1,train
4830,Cc1cc(=Nc2ccccc2)n(CCC#N)[nH]1,,2.3,train
4831,CNC(=O)N(C)C(=O)Nc1cc(Cc2ccccc2)ccc1F,3.9,,train
4832,CCCCN,0.97,,train
4833,O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,4.8,,train
4834,CC(=O)OC(C)(C)C,1.76,,train
4835,CCCCCCCC,5.18,,train
4836,N#CC(C#N)=NNc1ccc(N=Nc2ccccc2)cc1,4.25,,train
4837,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,,-0.93,train
4838,[O-][n+]1ccc(O)c2ccccc21,-0.47,,train
4839,O=C(O[Na])c1ccc2ccccc2c1,-1.07,,train
4840,Cc1cccc(Cl)c1Nc1ccccc1CC(=O)O,4.37,,train
4841,CCC(C)n1nc2ccccc2n1,2.95,,train
4842,COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1,0.03,,train
4843,N#Cc1c[nH]n2c(=NC3CC3)cc(-n3ccc4ccc(CO)cc43)nc12,,3.09,train
4844,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,1.46,,train
4845,CC1CCCC(C)N1C(=O)COC(=O)c1ccccc1,2.9,,train
4846,CC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(Cc1ccccc1)NC(=O)C(N)C(C)C)C(O)O,-1.32,,train
4847,CCCCCCCCC(C)=O,3.73,,train
4848,OCCc1ccccn1,0.12,,train
4849,CCCOP(OCCC)OCCC,2.26,,train
4850,COc1ccc(C(O)C(C(=O)O)c2ccc(-c3ccccc3)cc2)cc1,3.59,,train
4851,O=C1C(=O)C(C=CC(Cl)Cl)C(=O)c2ccccc21,3.1,,train
4852,COc1cc(OC)[nH]c(=NC(=O)NS(=O)(=O)Nc2ccccc2C(=O)C2CC2)n1,2.05,,train
4853,CCOC(=O)C(C)Oc1ccc(-n2sc3ccccc3c2=O)cc1,3.89,,train
4854,COC(=O)c1no[n+]([O-])c1C,0.56,,train
4855,CC=NC(=O)C(Cc1cn(-c2ccccc2)nc1-c1cccs1)NC(=O)c1ccccc1,4.64,,train
4856,OCc1c(Cl)cccc1Cl,2.02,,train
4857,CC(=O)Nc1ccc(O)c(C)c1C,0.57,,train
4858,O=C(Nc1ccccc1Cl)c1cc[nH]n1,,2.58,train
4859,COC=C1CSC2C(=NC(=O)C(NOC)c3csc(=N)[nH]3)C(=O)N2C1C(=O)OC(C)OC(=O)OC(C)C,,1.7,train
4860,COc1ccc(CO)cc1,1.1,,train
4861,CCC(=O)OC1(C(=O)CO)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C,2.7,,train
4862,CCCCc1c(C)nc(=NCC)[nH]c1OS(=O)(=O)N(C)C,2.7,,train
4863,CC(=O)NC(Cc1ccc(O)cc1)C(=O)NC(C(N)=O)C(C)C,-0.2,,train
4864,CC(C)(Cc1ccccc1)NC(=O)N(CCCl)N=O,3.73,,train
4865,Cc1c(C(=O)N2CCN(S(=O)(=O)c3ccccc3)CC2)sc2nc3n(c(=O)c12)CCCCC3,4.13,,train
4866,C=c1oc(=Cc2ccc(OC)cc2)c(O)c1C(=O)OCC,2.96,,train
4867,CCCCNCc1ccccc1,2.59,,train
4868,CC1(C)SC2C(NC(=O)C(Cl)c3ccccc3)C(=O)N2C1C(=O)O,2.3,,train
4869,N#CC1(NC(=O)C2CCCCC2C(=O)N2CCN(c3nc4ncccc4s3)CC2)CC1,,1.4,train
4870,O=C(O)COc1ccccc1,1.34,,train
4871,Nc1cc(Cl)c(Cl)cc1N,2.0,,train
4872,Fc1cc(F)cc(-c2cc(N(CCCN3CCCCCC3)Cc3ccc4c(c3)OCO4)on2)c1,,3.84,train
4873,Cc1ccc(C)c(C(=O)N(NC(=O)c2ccccc2)C(C)(C)C)c1,3.25,,train
4874,Cc1c(Cc2ccccc2)no[n+]1[O-],2.08,,train
4875,CCC12CCN(CC3(O)CC3)C(Cc3ccc(O)cc31)C2(C)C,3.82,,train
4876,CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1ccccc1,0.96,,train
4877,N#Cc1ccc(CC(=O)Nc2ccccc2)cc1,2.82,,train
4878,CC(=O)N1CCCC1=O,-0.05,,train
4879,COc1ccc(C(=O)O)cc1,1.96,,train
4880,CC(=O)OC1COC(NC(=O)N(CCl)N=O)C(OC(C)=O)C1OC(C)=O,1.13,,train
4881,O=C(CCl)Nc1ccc2nn(C3CCCC3)nc2c1,2.78,,train
4882,COP(=O)(NC(C)(C)C)SC,0.96,,train
4883,c1csc(-c2ccc(-c3cccs3)s2)c1,5.57,,train
4884,CC(C)c1cccc(OCC(=O)O)c1,2.59,,train
4885,O=C(NC1CCCC1)C(c1ccncc1)N(Cc1ccco1)C(=O)c1ccc(-c2ccccc2)[nH]1,,4.36,train
4886,N#Cc1c(-c2ccc(-c3ccccc3C(F)(F)F)cc2)[nH]c2ccncc2c1=O,,3.3,train
4887,CCCCCC[C@H]1OC(=O)CNC(=O)C([C@H](C)O)NC(=O)C(CO)NC(=O)[C@H]([C@H](C)CC)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]1C,,3.2,train
4888,CC(C)N(C)N=Nc1ccc(C(N)=O)cc1,2.02,,train
4889,NS(=O)(=O)c1nn2c(=Nc3ccc(O)cc3)snc2s1,1.89,,train
4890,CC(=O)c1cccc(S(N)(=O)=O)c1,0.21,,train
4891,COc1ccc(C2CC(=O)C3C(=Nc4ccccc4N(C(=O)C(F)(F)F)C3c3cc(OC)c(OC)c(OC)c3)C2)cc1,4.87,,train
4892,CC(C)c1ccc(-c2ccccc2)cc1,5.51,,train
4893,O=C(O)Cc1ccc(OCc2ccccc2)c(Br)c1,3.51,,train
4894,COc1cc(N=c2cc(Oc3cccnc3C)cc[nH]2)cc(OC)c1OC,,3.19,train
4895,O=C1C=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1,-0.13,,train
4896,NS(=O)(=O)c1cc2c(cc1C(F)(F)C(F)(F)F)N=CNS2(=O)=O,1.05,,train
4897,c1ccc2c(c1)CCCN2,2.29,,train
4898,COc1cccc(S(I)=C(N(C)C)N(C)C)c1,-0.5,,train
4899,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCc3cccc(CNCCc4ccccc4Cl)c3)c2s1,,1.63,train
4900,COc1ccc(C(=O)CCCC(=O)O)cc1Cl,2.17,,train
4901,CN(C)C(=O)OCc1ccc(C#N)cc1,1.67,,train
4902,Cc1nonc1-c1ccccn1,2.09,,train
4903,CC(C)(C)OC(=O)N1CCC(c2ncc(OCc3ccc(S(C)(=O)=O)cc3)cn2)CC1,,2.8,train
4904,CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1cccc(C(F)(F)F)c1,3.61,,train
4905,CCc1nc(-c2ccc(C(C)C(=O)O)cc2)sc1C,3.99,,train
4906,C1=C(c2ccccc2)CCCC1,4.53,,train
4907,CC(C)N(C(=O)C(c1cccnc1)C(CNC(=O)NCc1ccccc1F)c1ccccc1)C(C)C,,4.2,train
4908,CCCCCCCCCNCc1ccc(C)cc1,5.7,,train
4909,Cc1ccc(C(=O)CS(=O)(=O)c2ccccc2)cc1,2.7,,train
4910,CN=c1c(Br)c[nH]c2[nH]c(-c3ccc(O)cc3)nc12,,2.47,train
4911,Cc1cccc(C)c1NC(=O)c1ccc(CN2CCCCC2)cc1,3.86,,train
4912,O=C(N=C1NC(c2ccccc2)c2ccccc2NC1=O)Nc1ccccc1F,,3.8,train
4913,CCCOc1ccc(O)cc1,2.33,,train
4914,Cc1ccc(C)c(O)c1C,2.67,,train
4915,COc1cc(N=c2cc(Oc3cc(C)c(C)nc3-c3ccccn3)cc[nH]2)cc(OC)c1OC,,3.22,train
4916,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCCOCCOCCc3cccc4ccccc34)c2s1,,2.28,train
4917,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,6.89,,train
4918,O=[N+]([O-])c1cccc2ccc(C(Cl)(Cl)Cl)nc12,,3.7,train
4919,CN(C)c1ccc(N=c2snc3sc(S(N)(=O)=O)nn23)cc1,2.32,,train
4920,Cc1nc(C)c(-c2ccc(C34CCC(C(=O)O)(CC3)CC4)cc2)nc1C(N)=O,,1.3,train
4921,CN(C)C(=O)Nc1ccc([N+](=O)[O-])cc1,1.51,,train
4922,Cc1ccc2cccc([N+](=O)[O-])c2n1,1.99,,train
4923,CSC(=O)c1cccc2nnsc12,3.1,,train
4924,CCN1C(=N)SC(=Cc2ccc([N+](=O)[O-])o2)C1=O,1.44,,train
4925,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,3.42,,train
4926,O=S(=O)(Nc1cccc(Cl)c1)C(F)(F)F,4.0,,train
4927,CCCSc1nc2ccc(NC(=O)CCC(=O)O)cc2s1,,0.5,train
4928,NCCCc1ccccn1,0.49,,train
4929,ClCCOC(c1ccccc1)c1ccccc1,4.38,,train
4930,Cc1ccc(C(=O)NC2CCN(c3cc(C(N)=O)cc(Cl)n3)CC2)[nH]1,,2.64,train
4931,CC(=O)OC1COC(NC(=O)N(CCCl)N=O)C(OC(C)=O)C1OC(C)=O,1.05,,train
4932,O=C(Nc1ccccc1)NC1CC1,1.65,,train
4933,C[C@H]1CCC[C@@H](C)N1C(=O)COC(=O)c1ccc2c(c1)S(=O)(=O)c1ccccc1C2=O,4.39,,train
4934,O=C(NCC1CCCO1)c1cc2nc(C3CC3)cc(C(F)(F)F)n2n1,3.33,,train
4935,O=[N+]([O-])c1c(Cl)ncnc1Cl,2.29,,train
4936,CC(=O)Oc1ccccc1Cl,2.18,,train
4937,CN(C1=NS(=O)(=O)c2ccccc21)c1ccc(OC(=O)c2ccccc2)cc1,4.26,,train
4938,Cn1cc([N+](=O)[O-])nc1Cl,0.19,,train
4939,N=c1[nH]cnc2sc(-c3c(-c4ccccc4)ncn3Cc3ccccc3N3CCOCC3)nc12,,3.58,train
4940,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,2.02,,train
4941,NCc1ccc([N+](=O)[O-])cc1,1.06,,train
4942,CCCC(C)O,1.19,,train
4943,CNC(=O)Oc1ccc2ccccc2c1,2.56,,train
4944,O=C(O)COc1ccccc1N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,,2.0,train
4945,Nc1ccc(C(=O)O)c(I)c1,1.65,,train
4946,COC(=O)CS(=O)(=O)c1ccc(Cl)cc1[N+](=O)[O-],1.3,,train
4947,NNC(=O)c1ccnc(F)c1,-0.11,,train
4948,O=[N+]([O-])CC1=NCCN1Cc1ccccc1,0.33,,train
4949,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,,2.52,train
4950,CN1C(N=c2[nH]cc([N+](=O)[O-])s2)=NCC1(C)C,2.35,,train
