,molecule,logp,dataset_type
3783,Cc1ccc(Cl)c(Cl)c1NC1=NCCN1,2.35,train
3784,CC(NC(=O)C(C)NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)O,-0.38,train
3785,CCOP(=S)(OCC)Oc1cnc2ccccc2n1,4.44,train
3786,COc1cc(OC)[nH]c(=NC(=O)NS(=O)(=O)c2c(-c3nnn(C)n3)cnn2C)n1,0.65,train
3787,O=C(OC1CCCCC1)n1cc(F)c(=O)[nH]c1=O,1.42,train
3788,N=c1cn[nH]c2ccccc12,1.04,train
3789,NC(Cc1ccc(O)cc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,-1.87,train
3790,ClC1CC(Cl)C(Cl)C(Cl)C1Cl,3.37,train
3791,CC(C)c1cc(Oc2ccccc2)cc(C(C)C)c1NC(=S)NC(C)(C)C,6.0,train
3792,CCCCCBr,3.37,train
3793,Cc1c[nH]c(=O)[nH]c1=O,-0.62,train
3794,O=[N+]([O-])c1ccc(N=C=S)cc1,3.62,train
3795,O=c1[nH]cc(CO)c(=O)[nH]1,-1.94,train
3796,CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)NCCO,1.51,train
3797,O=C(O)C=Cc1ccccc1,2.13,train
3798,n1onc2c1NC1Nc3nonc3NC1N2,0.3,train
3799,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,1.81,train
3800,COC1=C(OC)C(=O)C=CC1=O,0.34,train
3801,CCCCC1OC(=O)c2ccccc21,2.8,train
3802,COc1cc(CC(N)C(=O)O)ccc1O,-2.54,train
3803,CCN1CC=C(c2ccccc2)CC1,3.18,train
3804,CN(C)c1ccc(C(=O)O)cc1,1.28,train
3805,COc1ccc(COC(C(=O)O)c2ccccc2)cc1Cl,2.45,train
3806,CCC(C)C(NC(=O)C(CC(N)=O)NC(C)=O)C(N)=O,-1.43,train
3807,O=[N+]([O-])c1cc2ccccc2[n+]([O-])c1,0.56,train
3808,Nc1cc(C(F)(F)F)ccc1Cl,3.06,train
3809,COC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C2=NCCS2)c1CC(C)C,3.89,train
3810,COc1ccccc1C(=O)O,1.59,train
3811,CC(C)NNC(=O)C(C)Oc1ccccc1Cl,2.0,train
3812,COc1cccc(OCc2ccccc2CCCN2CCC(O)CC2)c1,3.35,train
3813,Brc1cc2ccccc2nn1,1.72,train
3814,O=C(Nc1ccc(Cl)c(Cl)c1)C1CCCCC1,4.72,train
3815,CC(C)CC(N)C(=O)O.CC(N)C(=O)O,-0.54,train
3816,FN(F)C(c1ccccc1)(c1ccccc1)c1ccccc1,3.73,train
3817,COCOC(=O)C1N2C(=O)C(N3C(=O)C(c4ccc(O)cc4)NC3(C)C)C2SC1(C)C,0.3,train
3818,CC(=NNC(=S)NNC(=S)Nc1ccccc1Cl)c1ccccn1,2.67,train
3819,CCOC(=O)NC1=NCC(c2cccc(F)c2)N1C,1.84,train
3820,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(OC(C)=O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1C,3.23,train
3821,COC(=O)c1cnc(-c2ccc(OC)cc2)c(-c2ccc(OC)cc2)n1,3.41,train
3822,COc1c(OC)c(OC(=O)C(C)(C)C)c2ccccc2c1OC(=O)C(C)(C)C,5.69,train
3823,N=C(NCC#CCC(NC(=O)C(Cc1ccc2ccccc2c1)Cc1cccc2ccccc12)C(=O)NC(CC1CCCCC1)C(O)CC(=O)NCCN1CCOCC1)N[N+](=O)[O-],4.73,train
3824,CCOC(=O)c1c(CC(C)C)csc1N=Cc1c(C)[nH]n(-c2ccccc2)c1=O,5.16,train
3825,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,3.11,train
3826,O=C1C=NC(c2ccccc2F)c2ccccc2N1,2.38,train
3827,CCN(CC)CCCNC(=O)c1ccccc1OC,1.76,train
3828,CC1(C)N=C(N)N=C(N)N1c1cccc(COc2cccc(NC(N)=O)c2)c1,0.9,train
3829,N#CC1(C#N)[C@H](c2ccc(Br)s2)C(C(=O)c2ccccc2)N2c3ccccc3C=C[C@@H]21,5.05,train
3830,CN(C)P(C)(=O)N(C)C,-0.67,train
3831,CCCCOC(=O)c1ccc(N)cc1,2.87,train
3832,CCN(CC)C(=O)c1ccc(C)cc1,2.38,train
3833,COCCn1cnc2c(=O)[nH]c(=Nc3ccccc3)[nH]c21,1.2,train
3834,CCc1ccc(OCC(=O)NCCc2ccc(OC)c(OC)c2)cc1,4.22,train
3835,CCC(C)C(NC(=O)C(NC(C)=O)C(C)C)C(=O)NCC(N)=O,-0.45,train
3836,CN(C)N=Nc1cn(C2OC(CO)C(O)C2O)c(=O)[nH]c1=O,-1.82,train
3837,Clc1cccc(Br)c1NC1=NCCN1,1.73,train
3838,CC1=NC(c2ccccc2)c2cc(Cl)ccc2NC1=O,3.33,train
3839,CNC(=O)Oc1ccc([N+](=O)[O-])cc1,1.47,train
3840,CC(C)(C)C(COc1ccc(-c2ccccc2)cc1)OC(=S)n1ccnc1,6.06,train
3841,CC(CC(=O)O)n1nnc2ccccc21,-0.2,train
3842,ClCCc1ccccc1,2.95,train
3843,Cc1c[nH]c2ccccc12,2.6,train
3844,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)NC(CC(C)C)C(=O)O,-1.0,train
3845,O=CNc1cccc(Cl)c1,1.9,train
3846,CCC1(C(C)CC(C)O)C(=O)NC(=O)NC1=O,0.35,train
3847,CCOC(=O)c1c(C)nc(SC[C@@]2(O)CCCC[C@@H]2SC)c(C#N)c1-c1ccccc1,6.01,train
3848,Cn1c(=O)ccc2ccccc21,1.45,train
3849,CCCCCCOC(=O)N(C)SN(C)C(=O)ON=C(C)SC,4.2,train
3850,c1ccc(C2=NOC3COC(c4ccccc4)OCC23)cc1,2.34,train
3851,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,4.05,train
3852,COc1ccccc1NC(=O)C1C(C)=Nc2nc(SCc3ccccc3F)nn2C1c1ccncc1,4.66,train
3853,Cc1ccccc1N1CCN(C(=O)c2ccc(S(=O)(=O)N(C)c3ccccc3)cc2)CC1,5.31,train
3854,Clc1ccc(-c2ccccc2)c(Cl)c1,5.16,train
3855,CCOC(=O)C(=Cc1ccc(C)cc1)C(C)=O,2.63,train
3856,CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(=O)CC21C,2.1,train
3857,COc1ccc(N(CCCC(=O)O)C(=O)c2ccc(Cl)cc2)cc1,2.7,train
3858,CCN1CC(C(=O)C(CC2CCCCC2)NC(=O)C(Cc2c[nH]cn2)NC(=O)C(Cc2ccccc2)CC(O)N2CCOCC2)OC1=O,2.2,train
3859,Brc1cccc(-c2cc3ccccn3c2)c1,5.31,train
3860,Cc1cccc(C2CNCCO2)c1,1.52,train
3861,CC1CC2C3CC(F)=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,1.94,train
3862,CCOC(=O)CCC(NC(=O)c1ccc(N(C)Cc2cnc3[nH]c(=N)[nH]c(=N)c3n2)cc1)C(=O)OCC,0.98,train
3863,Cn1nnnc1SC=C1CSC2C(NC(=O)C(O)c3ccccc3)C(=O)N2C1C(=O)O,0.5,train
3864,CCCCNOc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],2.05,train
3865,C#CC(CC)OC(=O)Nc1ccc(OCC)c(OCC)c1,3.07,train
3866,CCn1cc(C(=O)OCOC(C)=O)c(=O)c2ccc(C)nc21,1.21,train
3867,O=c1n[n+]([O-])ccn1Cc1ccccc1,0.19,train
3868,CC(C)OC(=O)CS(=O)c1ccc(Cl)cc1[N+](=O)[O-],2.22,train
3869,CCN(CCOC(C)=O)c1ccccc1,2.04,train
3870,C1COCCO1,-0.27,train
3871,CNC(=O)OC,-0.06,train
3872,NC(=O)Cc1cccc2cccnc12,1.87,train
3873,O=C(CNC(=O)c1ccccc1)Oc1cccc(Cl)c1,3.21,train
3874,CCOC(=O)c1[nH]c(C)c(C(=O)OCC(=O)N(C)[C@@H]2CCS(=O)(=O)C2)c1C,3.35,train
3875,O=S(=O)(CF)Nc1ccccc1,1.35,train
3876,Cc1ccc(S(=O)(=O)Oc2c(C(=O)c3ccc(Cl)cc3Cl)c(C)nn2C)cc1,3.9,train
3877,NS(=O)(=O)c1nn2c(=Nc3ccccc3)snc2s1,2.57,train
3878,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1.61,train
3879,NC(=O)CC(CC(=O)O)c1ccc(Br)cc1,1.12,train
3880,CCCCCc1cc(OCCCCN)c2c(c1)OC(C)(C)C1CC=C(C)CC21,8.38,train
3881,CCS(=O)c1c(Cl)cncc1Cl,2.1,train
3882,COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1C(=O)CS(C)(=O)=O,-0.31,train
3883,CC(=NO)c1cccs1,1.81,train
3884,CNc1ccccc1C,2.16,train
3885,CCc1c(O)c(=O)ccn1CCO,-0.66,train
3886,Cc1ccc(C)n1N=c1ccc(N2CCNCC2)n[nH]1,1.44,train
3887,CN(C)c1cccnn1,0.29,train
3888,CC(=O)C=NO,0.34,train
3889,CCc1ccc(C(=O)O)cc1,2.89,train
3890,COc1[nH]cnc(=NS(=O)(=O)c2ccc(N)cc2)c1OC(C)C,1.03,train
3891,CCOC(=O)C(Cc1ccc([N+](=O)[O-])cc1)=NC=O,2.05,train
3892,Clc1ccccc1Oc1ccc(Cl)c(Cl)c1Cl,5.72,train
3893,COc1ccc2c(C)cc(=O)n3c(C)cc1c23,2.84,train
3894,C#CCOc1cc(N=CNOCC)cc(Cl)c1OCC#C,2.6,train
3895,CCC(=O)OCOC(=O)c1cn(CC)c2nc(C)ccc2c1=O,1.7,train
3896,Clc1ccc(Oc2ccc(Cl)c(Cl)c2)c(Cl)c1,6.13,train
3897,CCN(CC)CCN1c2ccccc2Sc2ccc(Cl)cc21,5.94,train
3898,CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1ccc(F)cc1,0.7,train
3899,COc1ccc(-c2cnccn2)cc1,2.24,train
3900,Nc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2)cc1,2.71,train
3901,CC(=O)OCCCCCc1ccc(S(N)(=O)=O)cc1,1.86,train
3902,C=CCNC(=O)NN,-1.55,train
3903,CC12CCCC(C(N)=O)(CCC1)C2,2.73,train
3904,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3C(=C)CC21CC,3.16,train
3905,CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21,2.5,train
3906,Nc1ccccc1S,1.43,train
3907,CC(=O)NC(CSSCC(NC(C)=O)C(N)=O)C(N)=O,-1.7,train
3908,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4.88,train
3909,COC(=O)C1=C(C)N=C(C)C(C(=O)OC(C)C)C1c1cccc2nonc12,4.28,train
3910,COC(=O)c1ccccc1N,1.88,train
3911,Cn1ncc(Cl)c1-c1nc(-c2no[nH]c2=N)no1,2.77,train
3912,Cn1ccc(=O)[nH]c1=O,-1.2,train
3913,Cc1cccc(C)c1NC(=O)CCCCN,1.02,train
3914,CS(=O)(=O)c1cnc2ccccc2n1,0.79,train
3915,CC(=O)Nc1cc([N+](=O)[O-])c(Br)cc1F,2.11,train
3916,CNC(=O)NS(=O)(=O)c1ccc(C)cc1,0.95,train
3917,CN(Cc1cccc(Cl)c1)N=O,1.46,train
3918,CC(C)CC(NC(=O)C(Cc1ccc(O)cc1)NC(=O)C([NH3+])Cc1ccc(O)cc1)C(=O)[O-],-1.38,train
3919,CC(C)NNC(=O)C(C)Oc1cccc(Cl)c1,2.18,train
3920,CC12CCC(=O)C=C1C=CC1C2CCC2(C)C1CCC21CCC(=O)O1,2.68,train
3921,COC(=O)NC1=NCC(c2ccc(Cl)cc2)N1C,2.17,train
3922,CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1,2.56,train
3923,CC(=O)C=Cc1ccccc1C,2.6,train
3924,COCC(=O)Cn1ccnc1[N+](=O)[O-],-0.26,train
3925,FC(F)(F)c1nc2c(Cl)c(Cl)c(Cl)cc2[nH]1,3.87,train
3926,Cc1cn(C2OC(CO)CC2F)c(=O)[nH]c1=O,-0.44,train
3927,CCn1cc(C(=O)NC(C(=O)OC)C(C)C)c(=O)c2ccc(C)nc21,3.61,train
3928,CC(=O)C=Cc1ccc(F)cc1,2.22,train
3929,O=C(Cn1ccnc1[N+](=O)[O-])N(CCO)CCO,-1.64,train
3930,CCCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,2.81,train
3931,O=C(c1nn(-c2ccccc2)c(=O)c2ccccc12)N1CCOCC1,2.47,train
3932,Cc1cc2c(OCC(O)CNC(C)C)cccc2[nH]1,2.3,train
3933,CCOc1ccc(NC(=O)OC)cc1,2.15,train
3934,O=c1[nH]c(=O)n(Cc2ccc(Cl)cc2)cc1F,1.64,train
3935,CC(=O)NN=CCCc1ccccc1,1.8,train
3936,O=S(=O)(O)c1ccc2ccccc2c1,0.63,train
3937,O=C1NC(=O)N(Cc2ccccc2)C(=O)C1=O,1.02,train
3938,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,4.77,train
3939,NNC(=O)NC1CCCCC1,0.15,train
3940,c1ccc2c(c1)ccc1ncccc12,3.43,train
3941,CN(C)C(=S)NN,-0.3,train
3942,CCCNP(=O)(OC)SC,0.65,train
3943,COc1ccc2cc(CC(=O)OCC(=O)N(C)C)ccc2c1,2.23,train
3944,Clc1ccc(Cl)c(-c2ccccc2)c1Cl,5.67,train
3945,Cc1ccc(N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C)cc1,3.9,train
3946,CN(C)c1ccc(N=c2snc3sc(S(N)(=O)=O)nn23)cc1,2.32,train
3947,COc1ccccc1C(=O)NC(=O)Nc1ccc(Cl)cc1,4.35,train
3948,O=C(O)CCSC1=NS(=O)(=O)c2cc(Br)ccc2N1,1.77,train
3949,CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,2.16,train
3950,CCCCC1OC(=O)c2cc(N(CCO)CCO)ccc21,1.34,train
3951,Cc1cc(=O)oc2cc(C3OC(C(=O)O)C(O)C(O)C3O)ccc12,-0.39,train
3952,Cc1ccc(C(N)=O)cc1,1.18,train
3953,CN(C)C=Nc1ccn(C2CCC(CO)O2)c(=O)n1,-0.95,train
3954,CNC(=O)N(C)C(=O)Nc1cc(C(C)C)ccc1F,3.53,train
3955,CCC(=O)OCC1OC(n2cc(I)c(=O)[nH]c2=O)CC1O,0.68,train
3956,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,5.02,train
3957,Cc1cc(N=NC(=N)N)ccc1NNC(N)=S,1.66,train
3958,COC(=O)Nc1ccccc1I,2.44,train
3959,c1csc(N2CCNCC2)n1,0.61,train
3960,N=c1nc(-c2cc[nH]c(=NCCO)c2)[nH][nH]1,0.24,train
3961,CCCCc1ccc(O)c(O)c1,2.96,train
3962,C#CCC(O)(c1cccnc1)C1CCCCC1,2.09,train
3963,COc1ccc(C(N)=S)cc1,1.63,train
3964,C=CCN(CC=C)c1cc(N)[n+]([O-])c(=N)[nH]1,1.6,train
3965,COc1cccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)c1C,3.7,train
3966,N#Cc1cccc2cccnc12,1.39,train
3967,Clc1ccc(-c2ccccc2)cc1,4.61,train
3968,CC(C)Cn1c(O)c(C=C2CC=CCC2)sc1=S,6.66,train
3969,CC(C)C1OC(=O)c2ccccc21,2.1,train
3970,Clc1ccc(OCc2cccc(CN3CCOCC3)c2)cc1,3.52,train
3971,O=c1[nH]c2c(O)ccc(CCNCCSCCCOCCc3ccc(NS(=O)(=O)c4ccccc4)cc3)c2s1,3.52,train
3972,NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)O,-1.36,train
3973,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,3.7,train
3974,Cc1ccc(C)n1N=c1ccc(N(CCO)CC(C)O)n[nH]1,1.3,train
3975,FC(F)(F)c1ccccc1Cl,3.53,train
3976,NC(=O)N=c1[nH]c(-c2ccccc2)no1,1.76,train
3977,CN(N=O)C(=O)Oc1cccc2ccccc12,2.85,train
3978,CN(c1nc2ccccc2s1)C1CCN(CCCCOc2ccc(F)cc2)CC1,5.37,train
3979,O=[N+]([O-])c1cc(Cl)c(Cl)c(Cl)c1Cl,3.93,train
3980,COC(=O)C(C#N)=NNc1ccc(Cl)cc1C(F)(F)F,4.66,train
3981,CC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CCCCN)C(=O)O,0.51,train
3982,O=C(Cn1c(=O)sc2ccc(Cl)cc21)N1CCN(CCOS(=O)(=O)O)CC1,-1.47,train
3983,CCn1cc(C2C3=C(CC(C)(C)CC3=O)N(c3ccc(C)cc3)C3=C2C(=O)CC(C)(C)C3)c(C)n1,5.35,train
3984,Oc1ccc(Cn2cc[nH]c2=S)cc1,1.02,train
3985,O=C(NN=Cc1c(O)ccc2ccccc12)c1ccco1,3.41,train
3986,Nc1ccc(S(=O)(=O)c2ccc(F)cc2)cc1,2.17,train
3987,CC(C)c1ccc(C(N)=O)cc1,2.14,train
3988,CCCCOCCOCCO,0.56,train
3989,O=C(O)CBr,0.41,train
3990,O=C1OC2(CCCC2)c2ccccc21,2.56,train
3991,CC1OC(=O)c2ccccc21,1.41,train
3992,ON=Cc1nc(Cc2ccccc2)no1,2.29,train
3993,CC(=O)Nc1c(C)cc(O)cc1C,0.31,train
3994,Fc1ncccn1,0.02,train
3995,COCOC,0.0,train
3996,CNC(=O)ON=C1CSCCS1,0.49,train
3997,Cc1ccc(-c2nccnc2-c2ccc(C)cc2)cc1,4.1,train
3998,COc1cc(OC)c(OC)cc1CC(C)N,1.74,train
3999,OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,3.6,train
4000,Clc1ccc(Cl)c(Oc2ccccc2)c1Cl,5.35,train
4001,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,1.15,train
4002,CSc1cccc(CCOCCS(=O)(=O)CCCNCCc2ccc(O)c3[nH]c(=O)sc23)c1,1.63,train
4003,CCOC(C)=O,0.73,train
4004,COCCNCc1cc2sc(S(N)(=O)=O)cc2s1,0.51,train
4005,Cc1ccccc1OP(=O)(Oc1ccccc1)Oc1ccccc1,4.51,train
4006,OC(C1CO1)C(O)C1CO1,-1.29,train
4007,N#Cc1cc2ccccc2[nH]c1=Nc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1C(F)(F)F,3.88,train
4008,COC(=O)c1cccc(S(I)=C(N(C)C)N(C)C)c1,-0.75,train
4009,CS(=O)c1ccc([N+](=O)[O-])s1,1.4,train
4010,Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1,4.66,train
4011,CC(=O)NC(Cc1ccccc1)C(=O)NCC(N)=O,-0.5,train
4012,CCCCCCCCCCCCN(C)N=Nc1ccc(C(N)=O)cc1,6.58,train
4013,COc1cccc(-n2c(O)ccc2O)c1,0.18,train
4014,CCCN(CCCCC(NC(C)=O)C(=O)NCc1ccccc1)C(=O)N(C)N=O,1.73,train
4015,O=c1[nH]c(Cl)c(Cl)cc1Cl,3.21,train
4016,CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,4.85,train
4017,COc1cc(Cl)c(Cl)c(Cl)c1Cl,4.51,train
4018,CC/C(=C\c1ccccc1)[N+](=O)[O-],2.86,train
4019,COC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,1.84,train
4020,CCc1ccccc1-n1c(O)ccc1O,0.64,train
4021,CCC1(C)CCC(=O)NC1=O,0.23,train
4022,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl,2.86,train
4023,FC(F)OC(F)(F)C(F)Cl,2.1,train
4024,COc1cccc(Cl)c1,2.98,train
4025,O=S1(=O)N=C(Cc2ccccc2)Nc2ccccc21,1.89,train
4026,CC(C)c1ccc(OCC(OC(=S)n2ccnc2)C(C)(C)C)cc1,5.21,train
4027,CC(=Cc1ccccc1)C(=O)O,2.6,train
4028,CN(C)C(=O)Nc1cccc(OCCc2ccccc2)c1,3.39,train
4029,Cc1ncc([N+](=O)[O-])n1CCc1ccncc1,0.06,train
4030,Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=O,-0.72,train
4031,O=C1c2ccccc2C(=O)C1c1cccc(Cl)c1,3.61,train
4032,CNC(=O)Oc1ccccc1C,1.46,train
4033,C=CCN1C(=S)N(c2ccc(CC)cc2)[C@H]2CS(=O)(=O)C[C@@H]21,2.86,train
4034,CCCC(=NOCC)C1C(=O)CC(C)(C2CC2)OC1=O,3.28,train
4035,CN(C)N=Nc1cc(C#N)cc(C#N)c1,2.18,train
4036,CCC(C)(C)c1ccc(CC(=O)O)cc1,3.48,train
4037,O=[N+]([O-])c1cc(O)cc([N+](=O)[O-])c1,2.36,train
4038,CCC(=O)c1ccc(OC(=O)NC)cc1,1.55,train
4039,N=c1nc(-c2cccc(C(F)(F)F)c2)[nH]c(=N)[nH]1,2.67,train
4040,COC(=O)c1cc(C)ccc1C1=NC(=O)C(C)(C(C)C)N1,1.68,train
4041,Cc1cc(O)c([N+](=O)[O-])cc1Cl,2.93,train
4042,COC(=O)Nc1ccccc1Cl,2.16,train
4043,NNC(=O)Nc1ccccc1C(=O)O,-0.49,train
4044,CNC(=S)NNc1ccccc1,1.17,train
4045,CN(C)C(N(C)C)=S(I)c1ccc(Cl)c(Cl)c1Cl,0.95,train
4046,CCOC(=O)C(=Cc1ccc(OC)cc1)C(C)=O,2.46,train
4047,N=c1nc(-c2cc(Cl)ccc2Cl)[nH]c(=N)[nH]1,1.97,train
4048,Clc1cc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2)c(Cl)c1,7.25,train
4049,CC(C)C(O)C(C(=O)O)c1ccc(-c2ccccc2)cc1,3.84,train
4050,CN(C)C(=O)Oc1ccc(Br)cc1,2.46,train
4051,Cc1cccc2cccnc12,2.6,train
4052,COc1ccc(C=C[N+](=O)[O-])cc1,2.2,train
4053,CC1(c2ccc(F)cc2)OC2CC3C4CC=C5CC(=O)CCC5C4CCC3(C)C2(C(=O)CO)O1,4.92,train
4054,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,-0.24,train
4055,COc1cc(CCN)cc(OC)c1OCc1ccccc1,2.4,train
4056,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,1.91,train
4057,COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1C(=O)N(C)C,-0.21,train
4058,O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,-1.98,train
4059,CCCC(=O)C=Cc1ccc(O)c(O)c1,2.61,train
4060,COc1ccc(C=CC(C)=O)cc1,2.25,train
4061,O=c1sscc1-c1ccccc1,2.64,train
4062,O=C(Cn1ccnc1[N+](=O)[O-])NCCCCO,-0.74,train
4063,COC(=O)C(F)(F)F,0.6,train
4064,CCN(N=O)C(C)C,0.9,train
4065,N=c1nc(Br)c2ncn(C3CCC(CO)O3)c2[nH]1,0.34,train
4066,Clc1cc(Cl)c2oc3cc(Cl)c(Cl)cc3c2c1,6.73,train
4067,O=C(O)CNC(=O)c1ccccc1O,0.95,train
4068,CCC1(C)CC(=O)NC1=O,0.38,train
4069,O=[N+]([O-])c1ccc(C=Cc2nccs2)o1,1.97,train
4070,Cc1cc(C)cc(C(=O)N(NC(=O)c2ccccc2)C(C)(C)C)c1,3.39,train
4071,CCCCCCC1OC(=O)c2ccccc21,3.55,train
4072,Cc1[nH]n(-c2ccccc2)c(=Nc2ccc(C(F)(F)F)cc2)c1[N+](=O)[O-],3.89,train
4073,O=C(OCC1OC(n2cc(I)c(=O)[nH]c2=O)CC1O)c1ccc([N+](=O)[O-])cc1,1.24,train
4074,Clc1ccc(Cl)c(-c2ccccc2)c1,5.1,train
4075,CCCOP(=O)(OCCC)Oc1ccc(SC)cc1,3.67,train
4076,CN(C)C=CC#N,0.47,train
4077,CCON=C(CC)C1C(=O)CC(c2c(C)cc(C)cc2C)CC1=O,4.46,train
4078,CCc1ccccc1OC,3.18,train
4079,Cc1ncc([N+](=O)[O-])n1CC(O)CCl,0.6,train
4080,CCCCCCc1ccc(O)cc1O,3.45,train
4081,Cc1cccc(C#Cc2ccccc2)n1,3.5,train
4082,O=C(OCc1ccccc1)c1cccnc1,2.4,train
4083,Fc1ccnc(N2CCNCC2)n1,0.97,train
4084,CCN(C)C(=O)COC(=O)c1ccccc1,1.27,train
4085,CCC(C)C(NC(C)=O)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(N)=O,-0.04,train
4086,O=C(O)CO,-1.11,train
4087,CC(=O)NC(C=O)C(N)O,-1.87,train
4088,c1ccc2sc(SN(C3CCCCC3)C3CCCCC3)nc2c1,4.8,train
4089,O=C1CC(=Nc2ccccc2)C(=O)c2ccccc21,2.84,train
4090,COC(C)(C(=O)O)c1ccccc1,1.64,train
4091,CC(C)(C)c1ccc(OCC(OC(=O)n2ccnc2)C(C)(C)C)cc1,4.82,train
4092,CC(C)C(N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O,-1.4,train
4093,COc1ccc(-c2nc3cccnc3[nH]2)c(OC)c1,2.57,train
4094,CN(C)CCNCCN,-0.92,train
4095,CC1CC2=NOS3=C2C(=NO3)C1,1.5,train
4096,O=C(c1ccccc1)N1CCCCC(Sc2nnc3ccccn23)C1=O,3.14,train
4097,C[N+](C)(C)[N-]C(=O)c1ccccc1,-0.11,train
4098,N=c1[nH]cnc2c1ncn2C1C=CC(CO)O1,-0.5,train
4099,N#Cc1ncc(Cl)nc1C#N,0.95,train
4100,C[C@H]1CCCC[C@@H]1NC(=O)COc1ncnc2ccccc12,3.11,train
4101,Cc1ncc(O[PH](=O)(=O)O)c(CO)c1O,-0.64,train
4102,CNC(=O)C=NC(=O)C=[NH+][NH-],-0.87,train
4103,COC(=O)CSc1nc(=NCC(C)C)nc(N2CCOCC2)[nH]1,3.75,train
4104,CC(CC(=O)c1ccccc1)C(=O)O,1.62,train
4105,Cc1ccc(-n2c(O)ccc2O)cc1,0.58,train
4106,CC(C)N1C(=O)SC(=Cc2ccc([N+](=O)[O-])o2)C1=O,2.42,train
4107,CCSC(=O)N1CCCCCC1,3.21,train
4108,CC(C)c1ccc(OCC(=O)O)cc1,2.69,train
4109,CC(C)(C)c1ccccc1OCC(=O)O,3.33,train
4110,C=CCC(CC=C)(NC(C)=O)C(N)=O,0.05,train
4111,O=C1c2ccccc2C(=O)c2ccccc21,3.39,train
4112,CCCC(CCC)=NN=C(N)N,1.73,train
4113,Nc1ccc(C(=O)NCC(=O)O)cc1,-0.89,train
4114,Cn1nc2ccc(NC(=O)c3ccc([N+](=O)[O-])cc3)cc2n1,2.53,train
4115,CC(C)c1cccc(C(C)C)c1NC(=O)CC(=O)CCCCCCCCCCO,4.2,train
4116,OCC1CCC(n2cnc3c(=S)[nH]cnc32)O1,-0.66,train
4117,COc1cc2c(c(OC)c1O)-c1ccc(OC)c(=O)cc1C(NC(=O)C(F)(F)F)CC2,1.67,train
4118,CN(Cc1ccc(F)cc1)N=O,1.67,train
4119,COc1ncnc2ccccc12,1.97,train
4120,CCc1n[nH]c(=O)[nH]c1=O,0.22,train
